title,company,location,experience,salary,url,tags,source
Analytics Data science and IOT Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-8-years-160524502594,"['Computer science', 'GIT', 'Version control', 'data science', 'Cloud', 'Natural language processing', 'data visualization', 'SDLC']",Naukri.com
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-machine-learning-data-science-trainer-ethnotech-academy-bengaluru-2-to-5-years-270922500482,"['Training', 'deep learning', 'tableau', 'data science', 'Coding', 'Analytical', 'Machine learning', 'Subject Matter Expert']",Naukri.com
AI/ML and Data Science Engineer,Intel,Bengaluru,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-ai-ml-and-data-science-engineer-intel-technology-india-pvt-ltd-bengaluru-2-to-4-years-050624908969,"['Data Science', 'Airflow', 'database management', 'PyTorch', 'Embedding Search', 'Pandas', 'Jupyter', 'Document Scraping']",Naukri.com
Data Science Manager,Lam Research,Bengaluru,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-manager-lam-research-bengaluru-2-to-4-years-200324501255,"['metadata', 'data science', 'Flex', 'Design development', 'Programming', 'Research', 'big data', 'Design']",Naukri.com
Python Developer (Data Science),Coreinsightsai,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-python-developer-data-science-coreinsightsai-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-140324501971,"['Solution architecture', 'data science', 'Debugging', 'Programming', 'Manager Technology', 'Room', 'Python', 'Testing']",Naukri.com
Data Science Engineer,Global Pharma Tek,Bengaluru,1-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-engineer-global-pharma-tek-bengaluru-1-to-4-years-180424502052,"['hive', 'algorithms', 'python', 'natural language processing', 'neural networks', 'data pipeline', 'machine learning', 'data engineering']",Naukri.com
Machine Learning / Data Science Engineers,Svayo,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-machine-learning-data-science-engineers-svayo-bengaluru-2-to-5-years-280524501039,"['data science', 'Machine learning', 'Science', 'Machine', 'Data']",Naukri.com
AI and Data Science Engineer,Rtwo Healthcare,Bengaluru,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-ai-and-data-science-engineer-rtwo-healthcare-solutions-llp-bengaluru-3-to-8-years-240623500271,"['Analytical', 'Artificial Intelligence', 'Machine learning', 'Data collection', 'Healthcare', 'Forecasting', 'Monitoring', 'SQL']",Naukri.com
Data Science,Nextcomm Corporation India,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-science-nextcomm-corporation-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-8-years-040624501335,"['python', 'data analysis', 'data analytics', 'natural language processing', 'neural networks', 'predictive analytics', 'machine learning', 'artificial intelligence']",Naukri.com
Excelher - Data Analyst,Volvo Financial Services,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-excelher-data-analyst-volvo-asset-finance-india-private-limited-bengaluru-3-to-5-years-250624503125,"['Analyst', 'Data analysis', 'Data management', 'power bi', 'data privacy', 'Data Analyst', 'Data analytics', 'big data']",Naukri.com
