,title,company,location,experience,salary,url,tags,source,index
17,Data Scientist,Visa,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-visa-3963365427?position=9&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=WBHzi7A7V6%2B0YQDceP1Efg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,18
18,Data Analyst Logistics,Victoria’s Secret & Co.,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-logistics-at-victoria%E2%80%99s-secret-co-3953081167?position=10&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=TFqagkQxAHFZbaOw958jow%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,19
19,Data Scientist,Pixis,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-pixis-3953507705?position=11&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=FWescBsXkBItvYGGx6uBPw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,20
20,Data Analyst,Zensar Technologies,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-zensar-technologies-3962901612?position=12&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=Z4j63X7V8S2E%2BGT8LfgMyA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,21
21,Data Quality Analyst,Renesas Electronics,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-quality-analyst-at-renesas-electronics-3845007946?position=13&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=7mw8HtBEh9kOTzOGukx0CA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,22
22,Data Analyst,EXL,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-exl-3963375334?position=14&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=We7q63si3Z5ARBe08IlGdg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,23
23,Data Quality Analyst,Renesas Electronics,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-quality-analyst-at-renesas-electronics-3845010543?position=15&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=GLwJd%2Fc5nqLD6d5vRdskeg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,24
24,Data Scientist,EPAM Systems,"Bangalore Urban, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-epam-systems-3958015931?position=16&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=bPDYocfrwrdbUhWokGKI6g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,25
25,Data Scientist,Jio,"Bengaluru East, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-jio-3945745795?position=17&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=7tJxLbUsg%2B7MTTMyavZmtQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,26
26,Data Scientist,Rakuten Symphony,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-rakuten-symphony-3966097539?position=18&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=w0kLUVWdysPwcjvhaUXy8g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,27
